"HYBAS_ID","SUB_AREA","GIS_AREA","protectpi"
6050000010,72363.7,15531.4843923493,0.214630876977674
6050000740,17944.3,576.295598847474,0.0321158027255159
6050000750,53087,14575.465667253,0.27455809646906
6050001940,27553.5,11961.3429420217,0.434113377321272
6050001950,52530.4,10364.3071527243,0.19730112758944
6050003210,17722,1442.48408386878,0.0813951068654094
6050003220,19353.5,5203.29460734033,0.268855483883552
6050003690,32719.1,2656.02780306759,0.0811766767138336
6050004060,21624.8,1311.83369913622,0.0606633910665634
6050004070,18935.5,3212.45544883267,0.169652528258175
6050005180,64285.5,54636.5333301963,0.849904462595707
6050005190,70315.5,13982.9715044393,0.198860443350888
6050005490,66409.3,66409.3,1
6050005500,96410.4,74539.7895066598,0.773150920509196
6050006470,42497.1,42497.1,1
6050006540,37353.9,2.93221852602141,7.84983234955764e-05
6050007100,6618.9,653.486050151297,0.0987303101952435
6050007660,11060.2,0.088801454772764,8.02891943841558e-06
6050007960,82901.6,77.947399927778,0.000940239994496825
6050008320,18906.2,11.0796042595592,0.000586030204883014
6050008620,34830.8,2714.63547973409,0.0779377872381366
6050009220,40533.4,2714.63547973409,0.0669728046434321
6050009250,55843.1,5012.09029262511,0.0897530812692188
6050009260,3088.6,33.2423012791835,0.0107629026999882
6050009430,52991.6,5015.78120967833,0.0946523828244161
6050009440,30706.1,1573.69658756243,0.0512502918821483
6050009760,42461.4,141.548604733521,0.00333358308330674
6050009770,12633,252.866072881462,0.0200163122679856
6050010100,14578.5,0.204989924222494,1.40611122010148e-05
6050010110,32471,72.9251922775658,0.00224585606472132
6050010510,73490.9,300.641678305322,0.00409086945874009
6050010520,18573.5,156.330002337652,0.00841683055631151
6050010670,41203.5,640.706350194565,0.0155498040262251
6050010680,30866,142.635458431862,0.00462111897984392
6050011240,19753.8,50.9223153758422,0.0025778490911036
6050011250,43552.8,534.338430953182,0.0122687503662952
6050011780,46326.6,1981.46389901262,0.0427716236247127
6050011790,5872.5,150.872995150645,0.0256914423415318
6050011890,16213.7,1127.4760028505,0.0695384768961128
6050011900,9604.3,13.0568100711065,0.00135947545069464
6050012020,36065.2,38.6582533139844,0.00107189904156873
6050012030,16991.4,49.9671119006843,0.00294072953968974
6050012280,54758.3,2144.69913793983,0.0391666494018227
6050012290,3669.1,4.1717434056561,0.00113699365121041
6050012370,7042.2,1.5304752511941,0.000217329137371006
6050012380,7427,45.9111484445662,0.00618165456369547
6050012580,55394,430.671068985414,0.00777468803454191
6050012590,41325.6,1290.74948360687,0.0312336538031357
6050012790,70980.9,3769.85422158597,0.0531108258924016
6050012800,66863.6,2345.13718414784,0.035073450788588
6050013420,82935.9,2491.12731054051,0.0300367791335298
6050013430,21133.6,788.154988689766,0.0372939295098689
6050013750,57233.3,6877.26754445372,0.120161995629358
6050013760,22525.3,7695.15137407396,0.341622592110825
6050014330,94497.1,15505.3714779087,0.164083040409798
6050015560,71807.3,517.47379045426,0.00720642316943068
6050015570,24361.6,367.423843263037,0.0150820899802573
6050015940,56212.3,547.170683244507,0.0097340027581954
6050015950,39407.1,1138.11549644819,0.0288809756731195
6050016720,71073.9,0.151355024094665,2.12954437697474e-06
6050016760,46433.4,273.770675546373,0.00589598598307196
6050016770,12638.9,164.328483614332,0.0130018026580107
6050016980,19412.8,117.138682783577,0.006034095173472
6050017380,86109,71.5641984099433,0.000831088485639634
6050017540,17652.6,45.4455959737322,0.00257444206370349
6050018290,43879.3,720.632679311383,0.0164230668974068
