"","HYBAS_ID","SUB_AREA","GIS_AREA","protectpi"
"1",6050006540,37353.9,2.93221852602141,7.84983234955764e-05
"2",6050007100,6618.9,653.486050151297,0.0987303101952435
"3",6050007660,11060.2,0.088801454772764,8.02891943841558e-06
"4",6050007960,82901.6,77.947399927778,0.000940239994496825
"5",6050207660,64371.9,51418.3265023612,0.798769750502334
"6",6050207670,127417.4,110807.493486593,0.869641771740694
"7",6050224360,136301.8,94582.2005491888,0.693917472470568
"8",6050224470,39769.3,39769.3,1
"9",6050237120,190789.9,190789.9,1
"10",6050237360,35819,3593.88330679254,0.100334551684652
"11",6050238630,59470.7,59470.7,1
"12",6050239820,67377.7,1033.08322373166,0.0153327172600379
"13",6050241250,39822.3,39822.3,1
"14",6050241280,37364.2,37364.2,1
"15",6050247260,28476.9,23673.4093854068,0.831319749881722
"16",6050247270,39823.5,26904.0102070856,0.675581257475751
"17",6050250180,156958.6,47122.6085158681,0.300223170414798
"18",6050262110,6049,6.52946208623514,0.00107942834951813
"19",6050262220,42675.3,10663.0459688437,0.24986458135839
"20",6050262360,68223.1,51423.5506117197,0.753755701686375
"21",6050263540,28404.3,28404.3,1
"22",6050266470,133363.2,53823.2991156719,0.403584340475273
"23",6050266740,514725.6,87625.739765548,0.170237772835756
"24",6050266880,189721.5,47260.7367069513,0.249105856252198
"25",6050272340,12881.4,188.942430910745,0.0146678490622716
"26",6050280400,51968.8,32972.8300902841,0.634473570493914
"27",6050285930,6217.2,186.758127415842,0.0300389447686808
"28",6050285990,55327,13182.001464492,0.238256212418747
"29",6050287830,270156.3,89862.3694224213,0.332631034043705
"30",6050294270,86295,25920.8532377688,0.300374914395605
"31",6050294360,378743.9,63621.8502975332,0.167981188073348
"32",6050298170,142352.3,45782.4180718388,0.321613476367005
"33",6050298270,48321.9,38185.6408443977,0.790234672982597
"34",6050315910,364869.2,33389.3962773803,0.0915105914047563
"35",6050315920,353711.5,84507.7383065419,0.238917135310958
"36",6050325720,59323.4,44238.7191371673,0.745721235417513
"37",6050325820,58770.3,14009.8173110523,0.2383826067087
"38",6050337190,78025,28212.6926569412,0.361585295186686
"39",6050337320,147160.2,49024.9626420936,0.333140092512062
"40",6050344660,41529.3,1794.15342475537,0.0432021109133882
"41",6050345000,32991.5,1925.01416111003,0.0583487916921034
"42",6050345180,36174,250.318092006595,0.00691983446692638
"43",6050384320,79227.1,34684.8372277234,0.437790064608239
"44",6050405310,191776.6,29892.3140312231,0.155870497397613
"45",6050405320,34417.8,19716.9786605866,0.572871556595325
"46",6050408040,16564,1599.52460541846,0.0965663248864079
"47",6050408150,21765.2,325.489555691569,0.0149545860222543
"48",6050411440,13504.4,0.164254394475445,1.21630279372238e-05
"49",6050425540,93459.2,31064.384790274,0.332384450008924
"50",6050425550,75038.6,22634.4879320438,0.301637929439566
"51",6050442950,6037.8,3.07668364093959,0.000509570313846035
"52",6050449500,2358.1,1004.12323010769,0.42581876515317
"53",6050451380,66112.9,7183.19023257086,0.108650357684671
"54",6050451390,45771.7,16314.7328784809,0.356437118972661
"55",6050457840,19466.2,4058.8959628554,0.20850992812441
"56",6050458930,12152,6558.91596703448,0.539739628623641
"57",6050459050,6696.7,1017.29607572957,0.151910056554656
"58",6050476790,32437.7,6558.91596703448,0.20220040160167
"59",6050483010,52499.9,12.8821418923637,0.000245374598663306
"60",6050483020,19512,3423.14459828439,0.175437915041225
"61",6050491720,282425.1,57480.1955139441,0.203523679424896
"62",6050491730,47420.7,12940.7512034775,0.27289245421256
"63",6050506420,28125.5,0.350722901766405,1.2469925930789e-05
"64",6050527670,61613.7,2409.26058890287,0.0391026766596207
"65",6050527680,2936.4,2656.27728920755,0.904603354177753
"66",6050532200,235711.3,1449.63039040531,0.0061500250111272
"67",6050532210,354282.6,23913.3495928876,0.0674979510506235
"68",6050532340,30434.9,1026.68705179564,0.0337338730140608
"69",6050532350,44898.6,40.0757456910036,0.000892583414427257
"70",6050546240,30127.8,2709.96969022095,0.0899491396723608
"71",6050546360,60333.9,5450.48641527332,0.0903387053592312
"72",6050550960,2889.8,46.6272814959776,0.0161351240556362
"73",6050551090,11804.2,357.083266889575,0.0302505266675908
"74",6050565970,43754,335.083032963195,0.00765834056230734
"75",6050594780,18969,353.216785056879,0.0186207383128725
"76",6050594790,15699.3,568.796870451625,0.0362307154109817
"77",6050622980,1072,110.066566584893,0.10267403599337
"78",6050624770,13484.6,110.066566584893,0.00816239017730544
"79",6050624870,23383.4,1332.99553557647,0.057006061375868
"80",6050007000,0,0,0
"81",6050239720,0,0,0
"82",6050238750,0,0,0
"83",6050261280,0,0,0
"84",6050261380,0,0,0
"85",6050263530,0,0,0
"86",6050250260,0,0,0
"87",6050266340,0,0,0
"88",6050262490,0,0,0
"89",6050272470,0,0,0
"90",6050384210,0,0,0
"91",6050280410,0,0,0
"92",6050457830,0,0,0
"93",6050506430,0,0,0
"94",6050287820,0,0,0
"95",6050007010,0,0,0
"96",6050007050,0,0,0
"97",6050007060,0,0,0
"98",6050007090,0,0,0
"99",6050007240,0,0,0
"100",6050007250,0,0,0
"101",6050007650,0,0,0
"102",6050411450,0,0,0
"103",6050443080,0,0,0
"104",6050449170,0,0,0
"105",6050565980,0,0,0
"106",6050622990,0,0,0
