"","HYBAS_ID","SUB_AREA","GIS_AREA","protectsu"
"1",6050016760,46433.4,510.308474999762,0.0109901164894184
"2",6050040520,21476.2,20653.0073550619,0.961669539074042
"3",6050667090,125982,708.572273477756,0.00562439295675379
"4",6050667100,109239.9,8729.54802948979,0.0799117175088021
"5",6050674150,34071,8142.05281882007,0.23897310964809
"6",6050675090,37235.9,5166.49450570689,0.13875035934963
"7",6050675150,22096.3,454.929363726529,0.0205884860237474
"8",6050680380,34881.1,527.411204946422,0.0151202572437917
"9",6050680410,19715.5,714.066080739269,0.036218512375505
"10",6050681720,14430.4,454.929363726529,0.0315257625378734
"11",6050705490,9913.9,3.93372323982899,0.000396788674470086
"12",6050708750,16487.1,454.929363726529,0.0275930493371502
"13",6050709700,2565.8,454.929363726529,0.177305075893105
"14",6050709810,60319.7,4316.08431903596,0.0715534778693521
"15",6050709930,35672.9,9695.09755332165,0.271777667454052
"16",6050710030,211620.1,4971.38189508887,0.0234920118414502
"17",6050718180,72166.9,23118.0725915915,0.320341771526718
"18",6050719760,26432,4422.62384461866,0.167320817366021
"19",6050719850,25200.1,11097.291494832,0.440366962624435
"20",6050721300,25219.2,4314.53296617912,0.171081278001646
"21",6050728570,22470.9,2942.97715098992,0.130968370247294
"22",6050728580,14642.8,2362.7540510764,0.161359442939629
"23",6050738860,33608.6,1108.97587594147,0.0329967887963637
"24",6050752460,10822.3,10822.3,1
"25",6050752470,24160,10078.9221821648,0.417173931380993
"26",6050755240,24892.7,4187.76415210725,0.168232620491439
"27",6050757070,9033.7,4501.7790615083,0.498331698142323
"28",6050757160,886.4,886.4,1
"29",6050757580,9645.5,4147.86366596263,0.430030964279989
"30",6050757590,3664.6,27.0902005103975,0.00739240313005444
"31",6050759370,37869.9,10401.8426429466,0.274673095068816
"32",6050759380,2650,2650,1
"33",6050760520,19215.4,7803.62400289477,0.406113013671054
"34",6050760600,8511.4,5573.3211578755,0.65480663085691
"35",6050762760,2084.6,2084.6,1
"36",6050762870,36699,12096.9826280815,0.329627036924209
"37",6050774150,23471.2,17698.3194858409,0.754044083210101
"38",6050774200,26049,10051.8319816544,0.385881683813367
"39",6050790150,114707.3,3296.30798972149,0.0287366888569558
"40",6050790160,264041.2,3326.12115484746,0.0125969778763597
"41",6050793610,28898.8,2713.85055913299,0.0939087629636174
"42",6050793620,67535.5,9803.73571103443,0.145164183444772
"43",6050808660,107168,7158.53663763282,0.0667973335103092
"44",6050808670,121712.6,440.765678253915,0.00362136441300173
"45",6050814830,50030.4,11781.2484736006,0.235481796539717
"46",6050816160,21657,126.390970219507,0.0058360331633886
"47",6050816630,21120.8,773.833260160393,0.0366384445740878
"48",6050819650,56623.1,16272.4810457184,0.28738237655159
"49",6050837900,17440.7,773.833260160393,0.0443693922927631
"50",6050837910,36858.2,12231.4897462907,0.3318526066463
"51",6050842120,110464,260.188820207072,0.00235541733240759
"52",6050842130,47203.5,3167.90168145908,0.0671115845532446
"53",6050846530,70446.3,1144.35908557628,0.0162444171741636
"54",6050849780,11412.4,15.0630371380903,0.00131988338457207
"55",6050849790,26872.7,11676.9304186921,0.434527621664071
"56",6050852180,12473.7,159.998663576326,0.0128268808434006
"57",6050852410,14641.1,3457.14226071364,0.2361258553465
"58",6050869670,26612.6,16.5858753048279,0.000623233930725594
"59",6050869680,15259.7,11.1235403197651,0.00072894882073469
"60",6050870380,25197.8,1003.55960744844,0.0398272709303368
"61",6050879890,76390.7,3456.76837507381,0.0452511676823725
"62",6050879900,2650.4,0.149925883271223,5.656726655268e-05
"63",6050887050,9334.7,4303.1773672922,0.460987216224646
"64",6050887140,13024.5,6186.98763804446,0.475026883031553
"65",6050887830,431.7,431.7,1
"66",6050887840,21794.3,997.754848840678,0.0457805411892411
"67",6050852400,0,0,0
"68",6050852210,0,0,0
"69",6050818720,0,0,0
"70",6050818840,0,0,0
"71",6050016770,0,0,0
"72",6050016970,0,0,0
"73",6050893010,0,0,0
"74",6050892920,0,0,0
"75",6050870370,0,0,0
"76",6050846520,0,0,0
"77",6050816640,0,0,0
"78",6050816240,0,0,0
"79",6050814820,0,0,0
"80",6050830430,0,0,0
"81",6050830420,0,0,0
"82",6050819640,0,0,0
"83",6050710170,0,0,0
"84",6050738870,0,0,0
"85",6050755160,0,0,0
"86",6050721310,0,0,0
"87",6050718170,0,0,0
"88",6050709820,0,0,0
"89",6050705380,0,0,0
"90",6050681620,0,0,0
"91",6050708820,0,0,0
"92",6050674210,0,0,0
