HYBAS_ID	NEO	PALEO	MISTO	SUPER	NaoSig
6050016760	1	0	0	0	0
6050852400	1	0	0	0	0
6050852410	0	0	0	0	1
6050852210	0	0	0	0	1
6050852180	0	0	0	0	1
6050842120	1	0	0	0	0
6050842130	1	0	0	0	0
6050818720	0	0	0	0	1
6050818840	1	0	0	0	0
6050016770	0	0	0	0	1
6050016970	0	0	1	0	0
6050893010	0	0	0	0	1
6050892920	0	1	0	0	0
6050887830	0	0	0	0	1
6050887840	0	0	0	0	1
6050887140	0	0	0	1	0
6050887050	0	0	0	0	1
6050879900	0	0	0	1	0
6050879890	0	0	0	0	1
6050870380	0	0	0	1	0
6050870370	0	1	0	0	0
6050869680	0	0	0	0	1
6050869670	0	0	0	0	1
6050849780	0	1	0	0	0
6050849790	0	0	0	0	1
6050846530	0	0	0	0	1
6050846520	0	0	0	0	1
6050837900	0	0	0	0	1
6050837910	0	0	1	0	0
6050816640	0	0	0	0	1
6050816630	0	0	0	0	1
6050816240	0	0	0	0	1
6050816160	0	0	0	0	1
6050814820	0	0	0	0	1
6050814830	0	0	0	1	0
6050830430	0	0	0	0	1
6050830420	0	0	0	0	1
6050808660	0	0	0	0	1
6050808670	0	0	0	1	0
6050819650	0	0	0	0	1
6050819640	0	0	0	0	1
6050790150	0	0	1	0	0
6050790160	0	0	0	1	0
6050793610	0	0	1	0	0
6050793620	1	0	0	0	0
6050774200	0	0	0	0	1
6050774150	0	0	0	0	1
6050762760	1	0	0	0	0
6050762870	0	0	0	0	1
6050759380	0	0	0	0	1
6050759370	0	0	1	0	0
6050752460	0	0	0	0	1
6050752470	0	0	0	0	1
6050710030	0	1	0	0	0
6050710170	0	0	1	0	0
6050738860	0	0	0	0	1
6050738870	0	0	0	0	1
6050728580	0	0	0	0	1
6050728570	0	0	0	0	1
6050755160	0	0	0	0	1
6050755240	0	0	1	0	0
6050721300	0	0	0	0	1
6050721310	0	0	0	0	1
6050718170	0	0	0	0	1
6050718180	0	0	0	1	0
6050757580	0	0	0	0	1
6050757590	0	0	0	0	1
6050709810	0	0	0	0	1
6050709820	0	0	0	0	1
6050757070	0	0	0	0	1
6050757160	0	0	0	0	1
6050760520	0	0	0	0	1
6050760600	0	0	0	0	1
6050705380	0	0	0	0	1
6050705490	0	0	0	0	1
6050667100	0	0	0	1	0
6050667090	0	1	0	0	0
6050681620	0	0	0	0	1
6050681720	0	0	0	0	1
6050680410	0	0	0	0	1
6050680380	0	0	0	0	1
6050709700	0	0	0	0	1
6050709930	0	0	0	0	1
6050708750	0	0	0	0	1
6050708820	0	0	0	0	1
6050674150	0	0	0	1	0
6050674210	0	0	0	0	1
6050675150	0	0	0	0	1
6050675090	0	0	0	0	1
6050719760	0	0	0	0	1
6050719850	0	0	0	0	1
6050040520	0	0	0	0	1
