HYBAS_ID	NEO	PALEO	MISTO	SUPER	NaoSig
6050006540	0	0	0	0	1
6050007000	0	0	0	0	1
6050239720	0	0	0	0	1
6050239820	0	0	0	1	0
6050238750	0	0	0	0	1
6050238630	0	0	0	0	1
6050241280	0	0	0	0	1
6050241250	0	0	0	0	1
6050261280	0	0	0	0	1
6050261380	0	0	0	0	1
6050263530	0	0	0	0	1
6050263540	0	0	0	0	1
6050262220	0	0	0	1	0
6050262110	0	0	0	1	0
6050298170	0	0	0	0	1
6050298270	0	0	0	0	1
6050250260	0	0	0	0	1
6050250180	0	0	1	0	0
6050266340	0	0	0	0	1
6050266470	0	0	0	0	1
6050325720	0	0	0	0	1
6050325820	0	0	0	0	1
6050262360	0	0	0	0	1
6050262490	0	0	0	0	1
6050272340	0	0	0	0	1
6050272470	0	0	0	0	1
6050384210	0	0	0	0	1
6050384320	0	0	0	0	1
6050285930	0	0	0	1	0
6050285990	0	0	0	1	0
6050280410	0	0	0	1	0
6050280400	0	0	0	1	0
6050405310	0	0	0	0	1
6050405320	0	0	0	0	1
6050337190	0	0	1	0	0
6050337320	0	0	1	0	0
6050294270	0	0	0	1	0
6050294360	0	0	0	1	0
6050247260	0	0	0	0	1
6050247270	0	0	1	0	0
6050237360	0	0	0	0	1
6050237120	0	1	0	0	0
6050457830	0	0	0	0	1
6050457840	0	0	0	0	1
6050506430	0	0	0	0	1
6050506420	0	0	0	0	1
6050224360	0	0	0	1	0
6050224470	0	0	0	0	1
6050532340	0	0	0	0	1
6050483010	0	0	0	0	1
6050532350	0	0	0	0	1
6050483020	0	0	0	0	1
6050287830	0	0	0	1	0
6050287820	0	0	0	1	0
6050425550	0	0	0	1	0
6050425540	0	0	0	1	0
6050266740	0	0	0	1	0
6050266880	0	0	0	1	0
6050207670	0	0	0	1	0
6050207660	0	0	0	0	1
6050491730	0	0	0	1	0
6050491720	0	0	0	1	0
6050532210	0	0	0	1	0
6050532200	0	0	0	1	0
6050315920	0	0	0	1	0
6050315910	0	0	0	1	0
6050007010	0	0	0	0	1
6050007050	0	0	0	0	1
6050007060	0	0	0	0	1
6050007090	0	0	0	0	1
6050007100	0	0	0	0	1
6050007240	0	0	0	0	1
6050007250	0	0	0	0	1
6050007650	0	0	0	0	1
6050007660	0	0	0	0	1
6050344660	0	0	0	0	1
6050345180	0	0	0	0	1
6050345000	0	0	0	0	1
6050411440	0	0	0	0	1
6050411450	0	0	0	0	1
6050408150	0	0	0	0	1
6050408040	0	0	0	0	1
6050443080	0	0	0	0	1
6050442950	0	0	0	0	1
6050449500	0	0	0	0	1
6050449170	0	0	0	0	1
6050458930	0	0	0	0	1
6050459050	0	0	0	0	1
6050451380	0	0	0	0	1
6050451390	0	0	0	0	1
6050476790	0	0	0	0	1
6050527670	0	0	0	0	1
6050527680	0	0	0	0	1
6050550960	0	0	0	0	1
6050551090	0	0	0	0	1
6050546240	0	0	0	0	1
6050546360	0	0	0	0	1
6050565980	0	0	0	0	1
6050565970	0	0	0	0	1
6050594780	0	0	0	0	1
6050594790	0	0	0	0	1
6050622980	0	0	0	0	1
6050622990	0	0	0	0	1
6050624770	0	0	0	0	1
6050624870	0	0	0	0	1
6050007960	0	1	0	0	0
